id,name_en,name_ne,region,zone,tier,latitude,longitude,surveyed,coords_source,geofence_m,period_from,period_to,photography,established_vantages,sources
"maya-devi-temple","Maya Devi Temple","माया देवी मन्दिर","Lumbini","sacred_garden","1","27.469609","83.275831","true","osm","30","-250",,"restricted","2","UNESCO WHC: Lumbini, the Birthplace of the Lord Buddha (666rev); Mukherji 1901, ASI Imperial Series XXVI/1: Antiquities in the Tarai, Nepal; OpenStreetMap: Mayadevi Temple node (wikidata Q15238480)"
"ashokan-pillar","Ashokan Pillar","अशोक स्तम्भ","Lumbini","sacred_garden","1","27.469681","83.275668","true","osm","30","-249",,"allowed","2","UNESCO WHC: Lumbini, the Birthplace of the Lord Buddha (666rev); Hultzsch, Inscriptions of Asoka (CII Vol. I, 1925); Mukherji 1901, ASI Imperial Series XXVI/1; OpenStreetMap: Ashoka Pillar node"
"puskarini","Puskarini","पुष्करिणी","Lumbini","sacred_garden","1","27.4694","83.2756","false","doc","25",,,"allowed","2","UNESCO WHC: Lumbini, the Birthplace of the Lord Buddha (666rev); Mukherji 1901, ASI Imperial Series XXVI/1"
"marker-stone","Marker Stone","चिन्ह ढुङ्गा","Lumbini","sacred_garden","1","27.469609","83.275831","false","doc","20",,,"restricted","0","UNESCO WHC: Lumbini (666rev)"
"vihara-remains","Vihara & Stupa Remains","विहार तथा स्तूप अवशेष","Lumbini","sacred_garden","1","27.4699","83.2762","false","doc","40","-250","500","allowed","0","UNESCO WHC: Lumbini (666rev); Mukherji 1901, ASI Imperial Series XXVI/1"
"myanmar-temple","Lokamani Cula Pagoda","लोकमणि चूल पगोडा","Lumbini","monastic_east","2","27.476144","83.277797","true","osm","45","1970",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"china-temple","China Temple","चीन मन्दिर","Lumbini","monastic_west","2","27.480294","83.27201","true","osm","50","1996",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"korean-temple","Dae Sung Suk Ga Sa","डे सुङ सुक गा सा","Lumbini","monastic_west","2","27.477994","83.271731","true","osm","50","2000",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"gautami-nuns-temple","International Gautami Nuns Temple","अन्तर्राष्ट्रिय गौतमी भिक्षुणी मन्दिर","Lumbini","monastic_east","2","27.475579","83.278385","true","osm","45","2000",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"world-peace-pagoda","World Peace Pagoda","विश्व शान्ति स्तूप","Lumbini","monastic_east","2","27.498881","83.27626","true","osm","50","2001",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"tilaurakot","Tilaurakot–Kapilavastu","तिलौराकोट–कपिलवस्तु","Lumbini","greater_lumbini","3","27.5747","83.0536","false","doc","60","-600",,"allowed","0","UNESCO WHC: Lumbini (666rev); Mukherji 1901, ASI Imperial Series XXVI/1"
"ramagrama","Ramagrama Stupa","रामग्राम स्तूप","Lumbini","greater_lumbini","3","27.503","83.687","false","doc","60","-500",,"allowed","0","UNESCO WHC: Lumbini (666rev)"
"patan-durbar-square","Patan Durbar Square","पाटन दरबार क्षेत्र","Kathmandu Valley","kathmandu_valley","1","27.673445","85.325035","true","osm","60","1627",,"allowed","2","UNESCO WHC: Kathmandu Valley (121); Slusser 1982, Nepal Mandala: A Cultural Study of the Kathmandu Valley; Department of Archaeology, Nepal"
"changu-narayan","Changu Narayan","चाँगुनारायण","Kathmandu Valley","kathmandu_valley","1","27.716347","85.427897","true","osm","50","464",,"allowed","2","UNESCO WHC: Kathmandu Valley (121); Pillar inscription of King Mānadeva, Changu Narayan (D. R. Regmi, Inscriptions of Ancient Nepal, 1983); Department of Archaeology, Nepal"
"manga-hiti","Manga Hiti","मंग हिटी","Kathmandu Valley","kathmandu_valley","2","27.6735225","85.3255348","true","osm","15","570",,"allowed","2","Slusser 1982, Nepal Mandala: A Cultural Study of the Kathmandu Valley"
